work_id,work_title,child_id,child_title
628,あした世界が終わるとしても,935,あした世界が終わるとしても,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/98/5/23985_1_8_8b.png?1592296486000
631,今日もツノがある,3960,今日もツノがある,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/87/6/22876_1_8_8b.png?1562115672000
634,おとなの防具屋さん(裏面),824,おとなの防具屋さん(裏面),""
635,Hello WeGo!,1635,Hello WeGo!,https://cs1.anime.dmkt-sp.jp/anime_kv/img/23/99/2/23992_1_8_8b.png?1590715973000
638,ひとりぼっちの○○生活,2963,ひとりぼっちの○○生活,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/69/3/22693_1_8_8b.png?1553495425000
640,賢者の孫,35,賢者の孫,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/65/8/22658_1_8_8b.png?1551920540000
641,RobiHachi,884,RobiHachi,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/71/4/22714_1_8_8b.png?1552962716000
643,なんでここに先生が!?,3536,なんでここに先生が!?,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/68/6/22686_1_8_8b.png?1554174037000
644,爆丸バトルプラネット,1086,爆丸バトルプラネット,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/70/0/22700_1_8_8b.png?1552879884000
649,世話やきキツネの仙狐さん,260,世話やきキツネの仙狐さん,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/65/9/22659_1_8_8b.png?1552293008000
651,フルーツバスケット 1st Season,120,フルーツバスケット 1st season,https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/68/0/22680_1_8_8b.png?1553495408000
