title,image_url,
神様になった日,https://abm.hayabusa.media/series/26-105/thumb.png%3Fversion%3D1602660669?width=242&height=136&quality=60&format=jpg&version=1602660669&fit=fill&background=000000
八男って、それはないでしょう！,https://abm.hayabusa.media/series/117-20/thumb.png%3Fversion%3D1585283274?width=242&height=136&quality=60&format=jpg&version=1585283274&fit=fill&background=000000
Fate/Grand Order -First Order-,https://abm.hayabusa.media/series/26-127/thumb.png%3Fversion%3D1608091692?width=242&height=136&quality=60&format=jpg&version=1608091692&fit=fill&background=000000
ソードアート・オンライン アリシゼーション War of Underworld,https://abm.hayabusa.media/series/25-131/thumb.png%3Fversion%3D1592371864?width=242&height=136&quality=60&format=jpg&version=1592371864&fit=fill&background=000000
デスマーチからはじまる異世界狂想曲,https://abm.hayabusa.media/series/168-3/thumb.png%3Fversion%3D1614342740?width=242&height=136&quality=60&format=jpg&version=1614342740&fit=fill&background=000000
彼女、お借りします,https://abm.hayabusa.media/series/194-15/thumb.png%3Fversion%3D1592907722?width=242&height=136&quality=60&format=jpg&version=1592907722&fit=fill&background=000000
トニカクカワイイ/TONIKAWA：OVER THE MOON FOR YOU,https://abm.hayabusa.media/series/199-35/thumb.png%3Fversion%3D1601453467?width=242&height=136&quality=60&format=jpg&version=1601453467&fit=fill&background=000000
ワールドトリガー 2ndシーズン,https://abm.hayabusa.media/series/5-26/thumb.png%3Fversion%3D1610078681?width=242&height=136&quality=60&format=jpg&version=1610078681&fit=fill&background=000000
裏世界ピクニック,https://abm.hayabusa.media/series/149-10/thumb.png%3Fversion%3D1610023929?width=242&height=136&quality=60&format=jpg&version=1610023929&fit=fill&background=000000
魔王城でおやすみ,https://abm.hayabusa.media/series/247-13/thumb.png%3Fversion%3D1601521727?width=242&height=136&quality=60&format=jpg&version=1601521727&fit=fill&background=000000
SK∞ エスケーエイト,https://abm.hayabusa.media/series/26-128/thumb.png%3Fversion%3D1608546087?width=242&height=136&quality=60&format=jpg&version=1608546087&fit=fill&background=000000
転生したらスライムだった件,https://abm.hayabusa.media/series/420-11/thumb.png%3Fversion%3D1561452706?width=242&height=136&quality=60&format=jpg&version=1561452706&fit=fill&background=000000
回復術士のやり直し やり直しver.,https://abm.hayabusa.media/series/54-54/thumb.png%3Fversion%3D1609988439?width=242&height=136&quality=60&format=jpg&version=1609988439&fit=fill&background=000000
宇崎ちゃんは遊びたい！,https://abm.hayabusa.media/series/25-149/thumb.png%3Fversion%3D1593660175?width=242&height=136&quality=60&format=jpg&version=1593660175&fit=fill&background=000000
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,https://abm.hayabusa.media/series/26-66/thumb.png%3Fversion%3D1561021420?width=242&height=136&quality=60&format=jpg&version=1561021420&fit=fill&background=000000
ログ・ホライズン,https://abm.hayabusa.media/series/142-4/thumb.png%3Fversion%3D1613461704?width=242&height=136&quality=60&format=jpg&version=1613461704&fit=fill&background=000000
ご注文はうさぎですか？ BLOOM,https://abm.hayabusa.media/series/117-23/thumb.png%3Fversion%3D1601452052?width=242&height=136&quality=60&format=jpg&version=1601452052&fit=fill&background=000000
異世界魔王と召喚少女の奴隷魔術～マジ魔王Ver～,https://abm.hayabusa.media/series/168-14/thumb.png%3Fversion%3D1561706809?width=242&height=136&quality=60&format=jpg&version=1561706809&fit=fill&background=000000
劇場版とある魔術の禁書目録－エンデュミオンの奇蹟－,https://abm.hayabusa.media/series/25-35/thumb.png%3Fversion%3D1602585296?width=242&height=136&quality=60&format=jpg&version=1602585296&fit=fill&background=000000
ヒプノシスマイク ～Division Variety Battle＠ABEMA～,https://abm.hayabusa.media/series/90-1424/thumb.png%3Fversion%3D1600403533?width=242&height=136&quality=60&format=jpg&version=1600403533&fit=fill&background=000000
